,keyword,province,type,date,index
378,咳嗽,911,wise,2022-12-27,912
379,咳嗽,911,wise,2022-12-28,917
380,咳嗽,911,wise,2022-12-29,884
381,咳嗽,911,wise,2022-12-30,846
382,咳嗽,911,wise,2022-12-31,712
383,咳嗽,911,wise,2023-01-01,646
384,鼻塞,911,all,2022-12-01,181
385,鼻塞,911,all,2022-12-02,171
386,鼻塞,911,all,2022-12-03,191
387,鼻塞,911,all,2022-12-04,211
388,鼻塞,911,all,2022-12-05,248
389,鼻塞,911,all,2022-12-06,276
390,鼻塞,911,all,2022-12-07,297
391,鼻塞,911,all,2022-12-08,378
392,鼻塞,911,all,2022-12-09,453
393,鼻塞,911,all,2022-12-10,590
394,鼻塞,911,all,2022-12-11,738
395,鼻塞,911,all,2022-12-12,998
396,鼻塞,911,all,2022-12-13,1074
397,鼻塞,911,all,2022-12-14,1120
398,鼻塞,911,all,2022-12-15,1129
399,鼻塞,911,all,2022-12-16,1134
400,鼻塞,911,all,2022-12-17,1053
401,鼻塞,911,all,2022-12-18,1047
402,鼻塞,911,all,2022-12-19,1022
403,鼻塞,911,all,2022-12-20,970
404,鼻塞,911,all,2022-12-21,904
405,鼻塞,911,all,2022-12-22,746
406,鼻塞,911,all,2022-12-23,652
407,鼻塞,911,all,2022-12-24,545
408,鼻塞,911,all,2022-12-25,504
409,鼻塞,911,all,2022-12-26,488
410,鼻塞,911,all,2022-12-27,430
411,鼻塞,911,all,2022-12-28,382
412,鼻塞,911,all,2022-12-29,372
413,鼻塞,911,all,2022-12-30,278
414,鼻塞,911,all,2022-12-31,292
415,鼻塞,911,all,2023-01-01,228
416,鼻塞,911,pc,2022-12-01,63
417,鼻塞,911,pc,2022-12-02,61
418,鼻塞,911,pc,2022-12-03,59
419,鼻塞,911,pc,2022-12-04,63
420,鼻塞,911,pc,2022-12-05,72
421,鼻塞,911,pc,2022-12-06,72
422,鼻塞,911,pc,2022-12-07,70
423,鼻塞,911,pc,2022-12-08,78
424,鼻塞,911,pc,2022-12-09,99
425,鼻塞,911,pc,2022-12-10,72
426,鼻塞,911,pc,2022-12-11,87
427,鼻塞,911,pc,2022-12-12,133
428,鼻塞,911,pc,2022-12-13,170
429,鼻塞,911,pc,2022-12-14,175
430,鼻塞,911,pc,2022-12-15,180
431,鼻塞,911,pc,2022-12-16,191
432,鼻塞,911,pc,2022-12-17,135
433,鼻塞,911,pc,2022-12-18,142
434,鼻塞,911,pc,2022-12-19,144
435,鼻塞,911,pc,2022-12-20,152
436,鼻塞,911,pc,2022-12-21,139
437,鼻塞,911,pc,2022-12-22,118
438,鼻塞,911,pc,2022-12-23,123
439,鼻塞,911,pc,2022-12-24,87
440,鼻塞,911,pc,2022-12-25,85
441,鼻塞,911,pc,2022-12-26,114
442,鼻塞,911,pc,2022-12-27,121
443,鼻塞,911,pc,2022-12-28,97
444,鼻塞,911,pc,2022-12-29,83
445,鼻塞,911,pc,2022-12-30,76
446,鼻塞,911,pc,2022-12-31,74
447,鼻塞,911,pc,2023-01-01,64
448,鼻塞,911,wise,2022-12-01,118
449,鼻塞,911,wise,2022-12-02,110
